Time,st
1474740560438,9374
1474740561172,9374
1474740562533,9374
1474740563194,9374
1474740564533,9374
1474740565186,9374
1474740566566,9374
1474740567313,9374
1474740568076,9374
1474740569533,9374
1474740570274,9374
1474740571788,9374
1474740572572,9374
1474740573375,9374
1474740574186,9374
1474740575825,9374
1474740576643,9374
1474740577415,9374
1474740578178,9374
1474740579770,9374
1474740580588,9374
1474740581415,9374
1474740582233,9374
1474740583840,9374
1474740584589,9374
1474740585328,9374
1474740586848,9374
1474740587651,9374
1474740588488,9374
1474740589368,9374
1474740590265,9384
1474740592013,9385
1474740592848,9387
1474740593644,9389
1474740594392,9390
1474740595801,9392
1474740596525,9394
1474740597998,9395
1474740598770,9397
1474740599525,9398
1474740601139,9400
1474740601935,9402
1474740602715,9402
1474740603471,9402
1474740604982,9402
1474740605729,9402
1474740606501,9402
1474740608022,9402
1474740608777,9411
1474740609550,9413
1474740611036,9414
1474740611730,9416
1474740613069,9418
1474740613738,9419
1474740615074,9421
1474740615769,9422
1474740617140,9424
1474740617825,9426
1474740618501,9427
1474740619852,9429
1474740620525,9431
1474740621911,9431
1474740622605,9433
1474740623950,9435
1474740624627,9436
1474740625988,9438
1474740626660,9440
1474740628021,9441
1474740628722,9443
1474740630123,9445
1474740630821,9447
1474740632273,9449
1474740632966,9450
1474740633659,9452
1474740635068,9454
1474740635762,9456
1474740637122,9457
1474740637801,9459
1474740639092,9460
1474740639714,9462
1474740640990,9464
1474740642344,9465
1474740643045,9467
1474740643769,9469
1474740645202,9471
1474740645903,9472
1474740647234,9474
1474740647899,9475
1474740649281,9477
1474740649981,9478
1474740651440,9480
1474740652179,9482
1474740652947,9484
1474740654485,9485
1474740655241,9487
1474740655951,9489
1474740657320,9491
1474740658003,9492
1474740659359,9494
1474740660036,9496
1474740661408,9498
1474740662092,9499
1474740663493,9501
1474740664178,9502
1474740665493,9503
1474740666172,9505
1474740667564,9506
1474740668289,9507
1474740669034,9508
1474740670493,9510
1474740671195,9510
1474740672627,9511
1474740673359,9511
1474740674099,9511
1474740675559,9511
1474740676257,9511
1474740677737,9511
1474740678549,9511
1474740679377,9511
1474740680210,9511
1474740681848,9511
1474740682606,9511
1474740683383,9511
1474740684164,9511
1474740685690,9511
1474740686423,9511
1474740687746,9511
1474740688448,9511
1474740689170,9511
1474740690604,9511
1474740691336,9511
1474740692927,9511
1474740693754,9511
1474740694588,9511
1474740695360,9511
1474740696903,9511
1474740697651,9511
1474740698385,9511
1474740699879,9511
1474740700596,9511
1474740701257,9511
1474740702526,9511
1474740703765,9511
1474740704391,9511
1474740705643,9511
1474740706904,9511
1474740707558,9511
1474740708887,9511
1474740709525,9511
1474740710883,9511
1474740711549,9511
1474740712959,9511
1474740713698,9511
1474740714454,9511
1474740715959,9511
1474740716668,9511
1474740718116,9511
1474740718883,9511
1474740719611,9511
1474740721117,9511
1474740721864,9511
1474740722659,9511
1474740724257,9511
1474740725085,9511
1474740725904,9511
1474740726701,9511
1474740727470,9511
1474740728934,9511
1474740729643,9511
1474740731061,9511
1474740731769,9511
1474740733257,9511
1474740734014,9511
1474740734770,9511
1474740736241,9511
1474740736963,9511
1474740737682,9511
1474740739046,9511
1474740739723,9511
1474740741139,9511
1474740741879,9511
